Epoch 1 - T_A:   0.0%, V_A:   0.0%, Validation Loss: 3.666, train_loss : 3.645
Epoch 74 - T_A:  28.1%, V_A:   9.4%, Validation Loss: 2.717, train_loss : 2.700
Epoch 75 - T_A:  28.1%, V_A:  28.1%, Validation Loss: 2.797, train_loss : 2.642
Epoch 76 - T_A:  40.6%, V_A:  25.0%, Validation Loss: 2.788, train_loss : 2.494
Epoch 77 - T_A:  21.9%, V_A:  21.9%, Validation Loss: 2.650, train_loss : 2.757
Epoch 78 - T_A:  15.6%, V_A:  25.0%, Validation Loss: 2.386, train_loss : 2.868
Epoch 79 - T_A:  37.5%, V_A:  21.9%, Validation Loss: 2.735, train_loss : 2.399
Epoch 80 - T_A:   9.4%, V_A:  31.2%, Validation Loss: 3.113, train_loss : 2.661
Epoch 81 - T_A:  34.4%, V_A:  12.5%, Validation Loss: 2.935, train_loss : 2.550
Epoch 82 - T_A:  28.1%, V_A:  25.0%, Validation Loss: 2.821, train_loss : 1.922
Epoch 83 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.388, train_loss : 2.594
Epoch 84 - T_A:  21.9%, V_A:  34.4%, Validation Loss: 2.302, train_loss : 2.704
Epoch 85 - T_A:  37.5%, V_A:  21.9%, Validation Loss: 2.672, train_loss : 2.311
Epoch 86 - T_A:  34.4%, V_A:  25.0%, Validation Loss: 2.961, train_loss : 2.298
Epoch 87 - T_A:  43.8%, V_A:  28.1%, Validation Loss: 2.376, train_loss : 2.330
Epoch 88 - T_A:  31.2%, V_A:  21.9%, Validation Loss: 2.514, train_loss : 2.393
Epoch 89 - T_A:   6.2%, V_A:  21.9%, Validation Loss: 2.922, train_loss : 3.112
Epoch 90 - T_A:  28.1%, V_A:  46.9%, Validation Loss: 2.213, train_loss : 2.228
Epoch 91 - T_A:  18.8%, V_A:  28.1%, Validation Loss: 2.527, train_loss : 2.587
Epoch 92 - T_A:  28.1%, V_A:  21.9%, Validation Loss: 2.548, train_loss : 2.340
Epoch 93 - T_A:  25.0%, V_A:  37.5%, Validation Loss: 2.351, train_loss : 2.578
Epoch 94 - T_A:  15.6%, V_A:  40.6%, Validation Loss: 2.621, train_loss : 2.359
Epoch 95 - T_A:  18.8%, V_A:  46.9%, Validation Loss: 2.128, train_loss : 2.849
Epoch 96 - T_A:  25.0%, V_A:  18.8%, Validation Loss: 2.847, train_loss : 2.689
Epoch 97 - T_A:  53.1%, V_A:  25.0%, Validation Loss: 2.654, train_loss : 2.177
Epoch 98 - T_A:  15.6%, V_A:  31.2%, Validation Loss: 2.760, train_loss : 2.609
Epoch 99 - T_A:  37.5%, V_A:  37.5%, Validation Loss: 2.381, train_loss : 2.340
Epoch 100 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 2.272, train_loss : 2.884
Epoch 101 - T_A:  28.1%, V_A:  25.0%, Validation Loss: 2.305, train_loss : 2.541
Epoch 102 - T_A:  28.1%, V_A:  21.9%, Validation Loss: 2.581, train_loss : 2.562
Epoch 103 - T_A:  31.2%, V_A:  31.2%, Validation Loss: 2.243, train_loss : 2.155
Epoch 104 - T_A:  18.8%, V_A:  31.2%, Validation Loss: 2.506, train_loss : 2.329
Epoch 105 - T_A:  18.8%, V_A:  25.0%, Validation Loss: 2.485, train_loss : 2.519
Epoch 106 - T_A:  31.2%, V_A:  28.1%, Validation Loss: 2.379, train_loss : 2.111
Epoch 107 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 2.876, train_loss : 2.719
Epoch 108 - T_A:  18.8%, V_A:  28.1%, Validation Loss: 2.373, train_loss : 2.374
Epoch 109 - T_A:  43.8%, V_A:  37.5%, Validation Loss: 2.605, train_loss : 2.294
Epoch 110 - T_A:  46.9%, V_A:  31.2%, Validation Loss: 2.007, train_loss : 2.251
Epoch 111 - T_A:  21.9%, V_A:  28.1%, Validation Loss: 2.462, train_loss : 2.784
Epoch 112 - T_A:  28.1%, V_A:  15.6%, Validation Loss: 2.745, train_loss : 2.517
Epoch 113 - T_A:  28.1%, V_A:  15.6%, Validation Loss: 2.557, train_loss : 2.633
Epoch 114 - T_A:  18.8%, V_A:  21.9%, Validation Loss: 2.517, train_loss : 2.663
Epoch 115 - T_A:  31.2%, V_A:  25.0%, Validation Loss: 2.227, train_loss : 2.253
Epoch 116 - T_A:  34.4%, V_A:  34.4%, Validation Loss: 2.648, train_loss : 2.602
Epoch 117 - T_A:  18.8%, V_A:  31.2%, Validation Loss: 2.911, train_loss : 2.866
Epoch 118 - T_A:  34.4%, V_A:  25.0%, Validation Loss: 2.713, train_loss : 2.220
Epoch 119 - T_A:  37.5%, V_A:  25.0%, Validation Loss: 2.747, train_loss : 2.437
Epoch 120 - T_A:  31.2%, V_A:  25.0%, Validation Loss: 2.191, train_loss : 2.169
Epoch 121 - T_A:  25.0%, V_A:  25.0%, Validation Loss: 2.266, train_loss : 2.480
Epoch 122 - T_A:  43.8%, V_A:  37.5%, Validation Loss: 2.347, train_loss : 2.272
Epoch 123 - T_A:  43.8%, V_A:  28.1%, Validation Loss: 2.765, train_loss : 2.241
Epoch 124 - T_A:  28.1%, V_A:  28.1%, Validation Loss: 2.314, train_loss : 2.473
Epoch 125 - T_A:  37.5%, V_A:  18.8%, Validation Loss: 2.752, train_loss : 2.219
Epoch 126 - T_A:  37.5%, V_A:  25.0%, Validation Loss: 2.585, train_loss : 2.068
Epoch 127 - T_A:  31.2%, V_A:  34.4%, Validation Loss: 2.309, train_loss : 2.225
Epoch 128 - T_A:  37.5%, V_A:  31.2%, Validation Loss: 2.595, train_loss : 2.353
Epoch 129 - T_A:  46.9%, V_A:  21.9%, Validation Loss: 2.574, train_loss : 2.083
Epoch 130 - T_A:  31.2%, V_A:  40.6%, Validation Loss: 2.112, train_loss : 2.599
Epoch 131 - T_A:  25.0%, V_A:  25.0%, Validation Loss: 2.365, train_loss : 2.168
Epoch 132 - T_A:  34.4%, V_A:  40.6%, Validation Loss: 2.235, train_loss : 2.253
Epoch 133 - T_A:  28.1%, V_A:  34.4%, Validation Loss: 2.564, train_loss : 2.509
Epoch 134 - T_A:  31.2%, V_A:  21.9%, Validation Loss: 2.334, train_loss : 2.302
Epoch 135 - T_A:  25.0%, V_A:  34.4%, Validation Loss: 2.425, train_loss : 2.456
Epoch 136 - T_A:  37.5%, V_A:  40.6%, Validation Loss: 2.203, train_loss : 2.385
Epoch 137 - T_A:  40.6%, V_A:  34.4%, Validation Loss: 2.493, train_loss : 2.018
Epoch 138 - T_A:  37.5%, V_A:  31.2%, Validation Loss: 2.092, train_loss : 2.020
Epoch 139 - T_A:  53.1%, V_A:  31.2%, Validation Loss: 2.638, train_loss : 1.999
Epoch 140 - T_A:  40.6%, V_A:  34.4%, Validation Loss: 2.230, train_loss : 2.251
Epoch 141 - T_A:  21.9%, V_A:  28.1%, Validation Loss: 2.468, train_loss : 2.325
Epoch 142 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 2.434, train_loss : 2.313
Epoch 143 - T_A:  31.2%, V_A:  37.5%, Validation Loss: 2.474, train_loss : 2.397
Epoch 144 - T_A:  34.4%, V_A:  15.6%, Validation Loss: 2.787, train_loss : 1.820
Epoch 145 - T_A:  34.4%, V_A:  31.2%, Validation Loss: 2.575, train_loss : 2.117
Epoch 146 - T_A:  37.5%, V_A:  43.8%, Validation Loss: 2.437, train_loss : 2.050
Epoch 147 - T_A:  50.0%, V_A:  37.5%, Validation Loss: 2.318, train_loss : 2.376
Epoch 148 - T_A:  28.1%, V_A:  18.8%, Validation Loss: 2.177, train_loss : 2.572
Epoch 149 - T_A:  43.8%, V_A:  28.1%, Validation Loss: 2.465, train_loss : 2.092
Epoch 150 - T_A:  34.4%, V_A:  28.1%, Validation Loss: 2.498, train_loss : 2.214
Epoch 151 - T_A:  31.2%, V_A:  12.5%, Validation Loss: 2.673, train_loss : 2.447
Epoch 152 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.081, train_loss : 2.265
Epoch 153 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.642, train_loss : 1.854
Epoch 154 - T_A:  46.9%, V_A:  15.6%, Validation Loss: 2.516, train_loss : 1.903
Epoch 155 - T_A:  18.8%, V_A:  34.4%, Validation Loss: 2.497, train_loss : 2.736
Epoch 156 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 2.500, train_loss : 1.964
Epoch 157 - T_A:  40.6%, V_A:  34.4%, Validation Loss: 2.249, train_loss : 2.385
Epoch 158 - T_A:  34.4%, V_A:  34.4%, Validation Loss: 2.283, train_loss : 2.793
Epoch 159 - T_A:  34.4%, V_A:  31.2%, Validation Loss: 2.188, train_loss : 2.254
Epoch 160 - T_A:  28.1%, V_A:  21.9%, Validation Loss: 2.975, train_loss : 2.469
Epoch 161 - T_A:  31.2%, V_A:  28.1%, Validation Loss: 2.202, train_loss : 2.152
Epoch 162 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.328, train_loss : 2.160
Epoch 163 - T_A:  34.4%, V_A:  34.4%, Validation Loss: 2.525, train_loss : 2.288
Epoch 164 - T_A:  43.8%, V_A:  46.9%, Validation Loss: 2.173, train_loss : 1.781
Epoch 165 - T_A:  46.9%, V_A:  25.0%, Validation Loss: 2.182, train_loss : 2.298
Epoch 166 - T_A:  31.2%, V_A:  34.4%, Validation Loss: 2.450, train_loss : 2.503
Epoch 167 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 2.113, train_loss : 2.064
Epoch 168 - T_A:  31.2%, V_A:  31.2%, Validation Loss: 2.318, train_loss : 2.148
Epoch 169 - T_A:  37.5%, V_A:  25.0%, Validation Loss: 2.058, train_loss : 2.643
Epoch 170 - T_A:  37.5%, V_A:  25.0%, Validation Loss: 2.633, train_loss : 2.369
Epoch 171 - T_A:  31.2%, V_A:  37.5%, Validation Loss: 2.205, train_loss : 2.200
Epoch 172 - T_A:  37.5%, V_A:  37.5%, Validation Loss: 2.474, train_loss : 2.181
Epoch 173 - T_A:  53.1%, V_A:  46.9%, Validation Loss: 2.175, train_loss : 1.684
Epoch 174 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.571, train_loss : 2.066
Epoch 175 - T_A:  31.2%, V_A:  37.5%, Validation Loss: 2.147, train_loss : 2.462
Epoch 176 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 2.561, train_loss : 2.154
Epoch 177 - T_A:  40.6%, V_A:  18.8%, Validation Loss: 1.951, train_loss : 1.765
Epoch 178 - T_A:  34.4%, V_A:  37.5%, Validation Loss: 2.385, train_loss : 2.191
Epoch 179 - T_A:  40.6%, V_A:  34.4%, Validation Loss: 2.464, train_loss : 1.997
Epoch 180 - T_A:  34.4%, V_A:  40.6%, Validation Loss: 2.222, train_loss : 2.544
Epoch 181 - T_A:  43.8%, V_A:  31.2%, Validation Loss: 2.444, train_loss : 2.078
Epoch 182 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.079, train_loss : 1.724
Epoch 183 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 2.255, train_loss : 1.868
Epoch 184 - T_A:  34.4%, V_A:  25.0%, Validation Loss: 2.048, train_loss : 2.381
Epoch 185 - T_A:  31.2%, V_A:  28.1%, Validation Loss: 2.090, train_loss : 2.074
Epoch 186 - T_A:  31.2%, V_A:  25.0%, Validation Loss: 2.510, train_loss : 2.258
Epoch 187 - T_A:  46.9%, V_A:  12.5%, Validation Loss: 2.449, train_loss : 2.053
Epoch 188 - T_A:  37.5%, V_A:  28.1%, Validation Loss: 2.385, train_loss : 2.240
Epoch 189 - T_A:  28.1%, V_A:  34.4%, Validation Loss: 2.199, train_loss : 2.073
Epoch 190 - T_A:  34.4%, V_A:  37.5%, Validation Loss: 2.550, train_loss : 2.156
Epoch 191 - T_A:  43.8%, V_A:  25.0%, Validation Loss: 2.448, train_loss : 2.112
Epoch 192 - T_A:  37.5%, V_A:  37.5%, Validation Loss: 2.555, train_loss : 2.297
Epoch 193 - T_A:  43.8%, V_A:  31.2%, Validation Loss: 2.432, train_loss : 1.882
Epoch 194 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 2.050, train_loss : 1.756
Epoch 195 - T_A:  43.8%, V_A:  40.6%, Validation Loss: 1.911, train_loss : 1.974
Epoch 196 - T_A:  46.9%, V_A:  46.9%, Validation Loss: 2.108, train_loss : 1.886
Epoch 197 - T_A:  31.2%, V_A:  28.1%, Validation Loss: 2.802, train_loss : 2.385
Epoch 198 - T_A:  34.4%, V_A:  25.0%, Validation Loss: 2.105, train_loss : 2.166
Epoch 199 - T_A:  25.0%, V_A:  34.4%, Validation Loss: 2.539, train_loss : 2.323
Epoch 200 - T_A:  40.6%, V_A:  21.9%, Validation Loss: 2.425, train_loss : 2.417
Epoch 201 - T_A:  40.6%, V_A:  53.1%, Validation Loss: 1.936, train_loss : 2.359
Epoch 202 - T_A:  21.9%, V_A:  28.1%, Validation Loss: 2.277, train_loss : 2.559
Epoch 203 - T_A:  43.8%, V_A:  25.0%, Validation Loss: 2.495, train_loss : 1.960
Epoch 204 - T_A:  28.1%, V_A:  46.9%, Validation Loss: 1.832, train_loss : 2.402
Epoch 205 - T_A:  53.1%, V_A:  21.9%, Validation Loss: 2.254, train_loss : 2.105
Epoch 206 - T_A:  25.0%, V_A:  43.8%, Validation Loss: 1.955, train_loss : 2.482
Epoch 207 - T_A:  37.5%, V_A:  31.2%, Validation Loss: 2.474, train_loss : 2.107
Epoch 208 - T_A:  31.2%, V_A:  40.6%, Validation Loss: 1.952, train_loss : 1.998
Epoch 209 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 2.265, train_loss : 2.186
Epoch 210 - T_A:  25.0%, V_A:  50.0%, Validation Loss: 2.090, train_loss : 2.486
Epoch 211 - T_A:  46.9%, V_A:  28.1%, Validation Loss: 2.280, train_loss : 1.486
Epoch 212 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 2.227, train_loss : 2.228
Epoch 213 - T_A:  43.8%, V_A:  28.1%, Validation Loss: 2.489, train_loss : 2.160
Epoch 214 - T_A:  25.0%, V_A:  37.5%, Validation Loss: 2.001, train_loss : 2.254
Epoch 215 - T_A:  50.0%, V_A:  43.8%, Validation Loss: 2.421, train_loss : 1.926
Epoch 216 - T_A:  31.2%, V_A:  37.5%, Validation Loss: 2.223, train_loss : 1.894
Epoch 217 - T_A:  37.5%, V_A:  31.2%, Validation Loss: 2.014, train_loss : 2.334
Epoch 218 - T_A:  46.9%, V_A:  15.6%, Validation Loss: 2.585, train_loss : 1.895
Epoch 219 - T_A:  34.4%, V_A:  25.0%, Validation Loss: 1.969, train_loss : 2.066
Epoch 220 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.168, train_loss : 1.964
Epoch 221 - T_A:  43.8%, V_A:  31.2%, Validation Loss: 2.274, train_loss : 2.099
Epoch 222 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 2.097, train_loss : 1.993
Epoch 223 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.378, train_loss : 2.026
Epoch 224 - T_A:  31.2%, V_A:  25.0%, Validation Loss: 2.365, train_loss : 2.309
Epoch 225 - T_A:  28.1%, V_A:  40.6%, Validation Loss: 2.374, train_loss : 2.193
Epoch 226 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 2.209, train_loss : 2.065
Epoch 227 - T_A:  37.5%, V_A:  21.9%, Validation Loss: 2.395, train_loss : 2.129
Epoch 228 - T_A:  34.4%, V_A:  31.2%, Validation Loss: 2.414, train_loss : 2.414
Epoch 229 - T_A:  34.4%, V_A:  43.8%, Validation Loss: 2.730, train_loss : 2.284
Epoch 230 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 2.436, train_loss : 2.184
Epoch 231 - T_A:  50.0%, V_A:  53.1%, Validation Loss: 1.833, train_loss : 1.656
Epoch 232 - T_A:  59.4%, V_A:  43.8%, Validation Loss: 2.146, train_loss : 1.600
Epoch 233 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 1.921, train_loss : 1.750
Epoch 234 - T_A:  43.8%, V_A:  25.0%, Validation Loss: 2.761, train_loss : 1.877
Epoch 235 - T_A:  50.0%, V_A:  43.8%, Validation Loss: 2.456, train_loss : 1.978
Epoch 236 - T_A:  53.1%, V_A:  37.5%, Validation Loss: 2.189, train_loss : 1.211
Epoch 237 - T_A:  46.9%, V_A:  34.4%, Validation Loss: 2.434, train_loss : 1.972
Epoch 238 - T_A:  34.4%, V_A:  50.0%, Validation Loss: 1.983, train_loss : 2.106
Epoch 239 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 2.077, train_loss : 1.675
Epoch 240 - T_A:  53.1%, V_A:  31.2%, Validation Loss: 2.237, train_loss : 1.636
Epoch 241 - T_A:  43.8%, V_A:  50.0%, Validation Loss: 1.929, train_loss : 2.042
Epoch 242 - T_A:  50.0%, V_A:  40.6%, Validation Loss: 2.310, train_loss : 1.891
Epoch 243 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 1.824, train_loss : 1.962
Epoch 244 - T_A:  50.0%, V_A:  28.1%, Validation Loss: 2.283, train_loss : 2.029
Epoch 245 - T_A:  34.4%, V_A:  37.5%, Validation Loss: 2.066, train_loss : 1.988
Epoch 246 - T_A:  46.9%, V_A:  43.8%, Validation Loss: 2.313, train_loss : 1.926
Epoch 247 - T_A:  37.5%, V_A:  40.6%, Validation Loss: 1.957, train_loss : 2.065
Epoch 248 - T_A:  50.0%, V_A:  34.4%, Validation Loss: 2.247, train_loss : 1.591
Epoch 249 - T_A:  37.5%, V_A:  40.6%, Validation Loss: 2.144, train_loss : 2.376
Epoch 250 - T_A:  31.2%, V_A:  25.0%, Validation Loss: 2.342, train_loss : 2.328
Epoch 251 - T_A:  37.5%, V_A:  46.9%, Validation Loss: 2.095, train_loss : 2.279
Epoch 252 - T_A:  53.1%, V_A:  56.2%, Validation Loss: 1.984, train_loss : 1.763
Epoch 253 - T_A:  56.2%, V_A:  40.6%, Validation Loss: 2.234, train_loss : 1.697
Epoch 254 - T_A:  37.5%, V_A:  37.5%, Validation Loss: 1.813, train_loss : 1.817
Epoch 255 - T_A:  34.4%, V_A:  31.2%, Validation Loss: 2.342, train_loss : 2.236
Epoch 256 - T_A:  43.8%, V_A:  34.4%, Validation Loss: 2.027, train_loss : 2.138
Epoch 257 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 2.109, train_loss : 2.013
Epoch 258 - T_A:  37.5%, V_A:  31.2%, Validation Loss: 2.089, train_loss : 2.048
Epoch 259 - T_A:  43.8%, V_A:  28.1%, Validation Loss: 1.911, train_loss : 2.240
Epoch 260 - T_A:  37.5%, V_A:  18.8%, Validation Loss: 2.506, train_loss : 1.920
Epoch 261 - T_A:  40.6%, V_A:  40.6%, Validation Loss: 2.380, train_loss : 1.595
Epoch 262 - T_A:  50.0%, V_A:  28.1%, Validation Loss: 2.118, train_loss : 1.643
Epoch 263 - T_A:  46.9%, V_A:  50.0%, Validation Loss: 1.880, train_loss : 2.049
Epoch 264 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 2.508, train_loss : 1.916
Epoch 265 - T_A:  46.9%, V_A:  37.5%, Validation Loss: 2.682, train_loss : 2.160
Epoch 266 - T_A:  43.8%, V_A:  43.8%, Validation Loss: 2.370, train_loss : 1.789
Epoch 267 - T_A:  34.4%, V_A:  21.9%, Validation Loss: 2.296, train_loss : 2.211
Epoch 268 - T_A:  37.5%, V_A:  43.8%, Validation Loss: 1.896, train_loss : 1.883
Epoch 269 - T_A:  40.6%, V_A:  37.5%, Validation Loss: 1.785, train_loss : 1.965
Epoch 270 - T_A:  50.0%, V_A:  46.9%, Validation Loss: 1.868, train_loss : 2.045
Epoch 271 - T_A:  40.6%, V_A:  25.0%, Validation Loss: 2.383, train_loss : 1.555
Epoch 272 - T_A:  28.1%, V_A:  46.9%, Validation Loss: 2.114, train_loss : 1.769
Epoch 273 - T_A:  46.9%, V_A:  43.8%, Validation Loss: 2.194, train_loss : 2.072
Epoch 274 - T_A:  37.5%, V_A:  46.9%, Validation Loss: 2.158, train_loss : 1.867
Epoch 275 - T_A:  43.8%, V_A:  46.9%, Validation Loss: 1.730, train_loss : 1.520
Epoch 276 - T_A:  43.8%, V_A:  40.6%, Validation Loss: 2.166, train_loss : 1.892
Epoch 277 - T_A:  25.0%, V_A:  34.4%, Validation Loss: 2.405, train_loss : 2.359
Epoch 278 - T_A:  46.9%, V_A:  40.6%, Validation Loss: 1.798, train_loss : 1.739
Epoch 279 - T_A:  28.1%, V_A:  37.5%, Validation Loss: 1.836, train_loss : 2.260
